category,file,rows,n_unique_patient_id,columns,missing_pct
lab_tests,MCH 33.csv,182673,43966.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,MCHC 11.csv,817327,61906.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,MCHC 22.csv,461761,73179.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,MCV 11.csv,562496,38020.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,MCV 22 .csv,759086,99484.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,MG 11.csv,29171,19896.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,NA 11.csv,50051,6807.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,NA 22.csv,944038,197955.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,P 11.csv,55962,7713.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,P 22.csv,940344,196903.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
